date,1,2,3,4,5,6
09-03-2015,0,8,2,4,0,1
09-04-2015,0,16,2,0,0,2
09-05-2015,1,14,1,2,0,1
09-06-2015,0,12,1,2,0,2
09-07-2015,0,12,1,2,1,2
09-08-2015,0,10,1,2,1,0
09-09-2015,1,11,2,0,0,1
09-10-2015,0,9,1,2,0,1
09-11-2015,0,12,1,4,0,2
09-12-2015,1,12,2,2,0,3
09-13-2015,1,14,1,4,0,2
09-14-2015,0,10,2,2,0,1
09-15-2015,1,12,2,2,1,1
09-16-2015,0,11,1,2,1,2
09-17-2015,0,11,1,1,0,2
09-18-2015,0,11,2,4,1,2
09-19-2015,1,13,1,2,0,1
09-20-2015,0,12,1,1,0,1
09-21-2015,1,14,1,3,0,2
09-22-2015,1,15,1,3,0,2
09-23-2015,1,14,2,1,0,2
09-24-2015,0,12,1,1,0,0
09-25-2015,2,12,2,1,0,0
09-26-2015,0,11,2,4,0,2
09-27-2015,1,11,2,2,0,1
09-28-2015,3,13,2,4,0,1
09-29-2015,2,17,1,3,1,0
09-30-2015,0,15,2,1,0,2
10-01-2015,0,15,2,4,0,2
10-02-2015,0,15,2,2,0,2
10-03-2015,1,14,1,4,0,2
10-04-2015,2,19,2,4,0,3
10-05-2015,0,10,2,3,0,2
10-06-2015,1,21,1,2,0,2
10-07-2015,1,20,2,3,0,3
10-08-2015,1,12,2,4,0,2
10-09-2015,1,10,1,2,0,2
10-10-2015,1,16,1,2,1,1
10-11-2015,0,15,2,0,0,3
10-12-2015,0,16,0,0,0,2
10-13-2015,1,11,2,3,0,1
10-14-2015,0,15,1,3,0,3
10-15-2015,0,16,1,2,0,1
10-16-2015,0,10,2,2,0,1
10-17-2015,3,11,2,1,0,1
10-18-2015,5,17,1,0,0,2
10-19-2015,1,15,2,3,1,2
10-20-2015,3,9,1,1,0,1
10-21-2015,0,8,2,1,1,2
10-22-2015,0,13,0,4,1,1
10-23-2015,0,9,2,2,0,0
10-24-2015,0,15,2,3,1,1
10-25-2015,1,13,0,1,0,2
10-26-2015,0,9,0,2,0,2
10-27-2015,0,16,2,2,1,1
10-28-2015,0,14,1,1,0,2
10-29-2015,0,13,1,2,2,1
10-30-2015,1,12,2,2,1,2
10-31-2015,0,14,2,4,0,2
11-01-2015,5,12,2,1,0,3
11-02-2015,1,11,2,2,1,1
11-03-2015,0,9,1,2,0,2
11-04-2015,1,10,2,2,0,3
11-05-2015,0,18,2,2,1,1
11-06-2015,0,14,2,1,1,0
11-07-2015,0,7,1,1,1,1
11-08-2015,2,11,4,3,0,2
11-09-2015,0,14,2,1,1,1
11-10-2015,0,9,0,3,0,1
11-11-2015,0,10,3,0,0,0
11-12-2015,0,12,1,1,0,1
11-13-2015,0,11,1,3,0,1
11-14-2015,1,14,2,1,0,1
11-15-2015,0,13,2,1,0,1
11-16-2015,0,11,2,1,0,0
11-17-2015,2,11,2,2,0,0
11-18-2015,1,11,0,0,0,0
11-19-2015,2,10,1,0,1,0
11-20-2015,1,10,1,1,0,1
11-21-2015,0,17,1,5,1,1
11-22-2015,0,14,2,4,0,1
11-23-2015,1,9,1,2,1,1
11-24-2015,1,12,3,1,0,1
11-25-2015,0,13,0,2,0,1
11-26-2015,0,11,3,0,1,1
11-27-2015,0,12,1,0,0,1
11-28-2015,1,14,2,2,0,2
11-29-2015,3,15,2,1,0,1
11-30-2015,1,10,0,2,0,2
12-01-2015,1,11,1,2,1,1
12-02-2015,0,9,1,4,0,1
12-03-2015,0,12,1,2,0,2
12-04-2015,0,12,1,2,0,1
12-05-2015,0,11,1,4,0,1
12-06-2015,1,18,2,3,0,2
12-07-2015,2,12,1,1,0,1
12-08-2015,2,12,1,2,0,1
12-09-2015,0,11,1,1,0,0
12-10-2015,1,8,0,3,1,0
12-11-2015,0,11,0,1,0,2
12-12-2015,1,15,2,1,0,1
12-13-2015,0,14,2,2,0,1
12-14-2015,0,12,2,2,1,0
12-15-2015,1,17,1,1,1,2
12-16-2015,0,9,2,2,1,3
12-17-2015,0,16,2,4,1,0
12-18-2015,1,14,0,2,0,2
12-19-2015,1,17,2,1,1,2
12-20-2015,0,14,2,1,0,1
12-21-2015,1,11,0,2,0,2
12-22-2015,3,19,1,2,0,2
12-23-2015,0,11,2,2,1,0
12-24-2015,1,18,1,3,0,1
12-25-2015,1,16,1,2,1,0
12-26-2015,0,12,1,3,0,1
12-27-2015,1,14,2,3,1,2
12-28-2015,0,10,1,1,0,1
12-29-2015,0,13,2,3,1,2
12-30-2015,0,9,1,3,1,1
12-31-2015,0,17,1,2,1,1
