ID;title;cat;lat;lng;count;weeks
32;Soloist coffee;2;39.89457858;116.3865206;211;6;3;4;4;3;5;3;6;4;4;4;4;4;5;5;3;5;3;2;5;5;4;6;4;4;6;4;4;6;3;5;5;2;3;2;4;4;4;4;5;5;3;2;4;3;4;5;4;4;5;4;2
33;云南商店;1;39.89436794;116.3882089;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
34;青云阁;3;39.89387834;116.3871894;21;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;0;0;0;0;0;1;0;1;0;0;0;2;0;2;0;0;0;1;1
35;前门客栈;4;39.89465796;116.3881089;50;0;3;1;1;2;2;0;1;1;1;1;0;0;0;1;0;2;0;2;1;1;2;3;0;3;2;0;1;1;1;2;2;3;1;0;1;1;1;2;0;1;2;0;0;0;0;0;0;0;0;1;0
36;365in;4;39.89418816;116.3876392;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
37;天平商务楼;4;39.89263245;116.379734;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0
38;中国书店（来薰阁书店);1;39.89373303;116.3788446;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
39;高丽高烤肉城 南新华街店;2;39.89210311;116.3788348;52;4;3;2;3;2;4;2;0;2;1;3;4;3;1;1;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;1;2;0;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;1
40;老浒记民俗酒楼 琉璃厂店;1;39.89286419;116.3788712;92;2;3;2;5;2;2;1;3;2;4;1;2;0;4;0;1;2;2;0;1;0;0;3;2;1;2;2;2;0;2;3;1;2;2;0;2;3;3;0;3;1;2;1;2;1;2;2;1;3;2;2;1
41;锦昌(琉璃厂东街);1;39.89378266;116.3793642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;北京银行琉璃厂支行;4;39.89289314;116.3787448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;宣武人才服务中心人才开发培训部;4;39.89290314;116.3787548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;戴月轩;1;39.89391203;116.3802635;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
45;北京琉璃厂文化创意产业园区办公室;4;39.89287281;116.3792044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;八大胡同;6;39.89128982;116.3841912;263;10;7;7;6;6;6;7;6;6;5;5;5;4;4;4;6;5;4;6;4;5;6;6;2;5;5;4;3;5;6;3;6;5;4;4;5;7;3;5;6;6;5;7;5;4;2;7;5;3;4;4;3
47;杨梅竹斜街;6;39.89378749;116.3823077;121;3;0;5;4;3;0;1;1;1;1;1;1;0;2;1;0;1;0;1;0;3;3;1;2;2;4;2;2;1;2;2;1;3;2;2;5;4;5;5;5;4;3;5;4;3;1;1;3;3;5;3;4
48;德缘烤鸭店 大栅栏店;2;39.89337887;116.38597;123;1;2;1;2;1;3;4;4;4;2;3;4;3;5;3;2;4;2;2;1;2;1;1;2;1;2;1;1;2;3;3;2;3;1;0;2;4;0;6;1;3;2;1;3;3;4;2;2;1;4;4;3
49;一得阁;1;39.89379045;116.3828217;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0
50;中国书店;1;39.89382044;116.3828317;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
51;福乐居火锅店;2;39.89295929;116.3851005;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;1;0;1;0;0;0;0;1;1;0;2;0;0
52;欣燕都连锁酒店大栅栏店;4;39.89190134;116.3814728;28;0;0;0;0;1;0;0;3;1;0;1;2;0;0;0;0;1;1;1;0;1;0;1;3;1;1;0;1;0;2;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0
53;融德画廊(琉璃厂东街);1;39.89384074;116.382322;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;SakuraCafeBar;2;39.89347881;116.3861099;18;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1
55;铁树斜街小吃店;2;39.89243978;116.3841611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;东南园小区(南门);5;39.89249118;116.3816826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;上林青年旅舍;4;39.89257455;116.3827389;111;2;0;1;3;3;0;1;0;1;0;0;0;0;2;0;1;3;2;3;2;0;0;0;1;1;4;1;2;2;2;2;3;3;2;4;2;5;5;4;4;3;2;1;2;2;3;1;3;6;6;7;4
58;安怡之家宾馆前门店;4;39.89347881;116.3861099;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
59;谭鑫培故居;3;39.8917564;116.3824598;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;暖日酒吧;2;39.89286948;116.3847207;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;铁树花开;6;39.89204852;116.3828419;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;狗不理包子(前门店);2;39.89347064;116.3865007;15;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
63;贾大爷卤煮;2;39.8934755;116.387765;24;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;1;0;0;0;0;0;1;2;0;0;0;2;1;0;0;1;0;1;1;1;1;2;0;1;1;0;1;0;1;0
64;京川人家酒楼(大栅栏西街);2;39.89374856;116.3866696;18;2;0;0;0;2;1;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;2;0;1;1;0;0;0;0;0;0
65;门框锅贴店;2;39.89357842;116.3870395;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
66;西华京兆饭店餐厅;2;39.89336799;116.388219;40;1;0;0;1;2;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;1;1;0;0;0;1;3;1;1;0;1;1;1;1;2;1;2;0;1;2;3;4;0;1;1;1;0;0;0;1;0
67;欣燕都连锁酒店棕树斜街店;4;39.89098902;116.3859003;34;0;0;0;1;0;0;0;0;1;1;0;0;0;3;0;1;1;2;3;1;1;1;1;2;0;0;0;0;1;0;0;2;0;0;0;1;0;1;0;2;0;1;5;1;0;0;0;0;0;0;0;1
68;京味贾家;2;39.89399812;116.3877591;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
69;天海老北京;2;39.89383842;116.3869995;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;阿来客栈;4;39.89358752;116.3867726;67;0;0;0;0;1;0;2;1;1;1;2;2;5;1;1;0;3;1;0;0;0;0;0;1;2;1;1;5;1;2;1;1;1;0;1;0;1;0;0;1;0;2;1;0;2;1;0;4;3;5;5;4
71;no.98;2;39.89299109;116.3882914;34;1;0;0;0;0;0;1;1;0;2;0;1;0;0;1;0;2;1;1;1;1;1;0;0;2;0;1;0;2;2;1;0;0;1;1;0;2;0;1;0;0;3;0;0;1;1;0;0;2;0;0;0
72;大栅栏商业建筑;6;39.89281798;116.3882991;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;博兴饭店(博兴胡同);4;39.89154837;116.3873896;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
74;虎坊桥烤肉城;2;39.88903351;116.3784955;81;2;3;2;2;1;1;1;4;0;1;1;1;2;1;0;0;1;1;2;2;0;2;1;2;2;2;1;1;2;0;5;2;3;2;3;0;0;1;3;4;2;1;2;2;0;2;1;0;2;1;2;2
75;远东饭店(铁树斜街);4;39.89067181;116.3808235;36;0;2;1;0;2;4;1;0;0;2;1;1;1;1;3;0;1;0;0;0;0;0;0;1;2;0;0;1;3;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0
76;陆仁餐厅;2;39.89034281;116.3793746;33;1;0;1;0;0;0;0;0;0;2;0;1;3;0;1;1;2;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;2;0;0;0;1;2;0;3;1;0;2;1;1;0;0;0;1;1;1;0
77;和平门三千里烤肉;2;39.8901629;116.3787063;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;中国联通北京分公司;4;39.8894267;116.3786988;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
79;一番日本料理;2;39.8897949;116.3807546;38;1;0;1;1;1;1;1;0;0;1;2;3;1;1;2;0;0;2;3;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;2;0;1;2;0;2;0;0;1;0;1;1;0
80;飘HOME连锁酒店(珠市口店);4;39.88982228;116.3801741;27;0;0;0;1;0;0;1;2;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;2;1;3;1;2;0;2;1;0;0;0;1;0;0;1;0
81;大栅栏文体广场;5;39.88866203;116.3806339;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;远东国际青年旅社;4;39.89075187;116.3807335;30;0;0;0;0;0;1;0;1;0;0;0;1;1;0;2;0;0;0;0;0;0;0;1;1;0;0;2;2;0;1;1;2;0;0;1;3;1;1;0;1;1;1;1;1;1;0;0;2;0;0;0;0
83;南来顺饭庄(虎坊桥店);2;39.88829244;116.3800444;7;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0
