ID;weibo_poiid;;dianping_id;;category;weibo_title;dianping_title;address;dianping_addr;dianping_tag;dianping_tag_2;2015 bjdw event no.;lat;lon;lat_wgs;lng_wgs;lat_BD;lng_BD;weibo count;dianping count;combined_count
98;B2094753D769AAFF459F;;3546289;;2;东来顺饭庄(大栅栏店);东来顺饭庄(大栅栏店);北京市西城区大栅栏7号吉龙老栅栏商城2楼;大栅栏7号吉龙老栅栏商城2楼;火锅;前门;;39.893602;116.390615;39.89220168;116.384376;;;11;4936;4947
99;B2094450D769A2FC459F;;17676938;;2;壹勺子糖;壹勺子糖Spoonful Of Sugar;北京市西城区大栅栏铁树斜街59号;大栅栏铁树斜街59号;咖啡厅;宣武门;58;39.8934;116.38909;39.89200051;116.3828519;;;50;265;315
100;B2094750D76CA3F54198;;5616524;;2;秋林菜馆;秋林菜馆;东城区前门大栅栏地区铁树斜街75号;前门大栅栏地区铁树斜街75号;鲁菜;前门;;39.893;116.388;39.89160118;116.3817627;;;7;41;48
101;B2094753D768A2FB489F;;;;2;上林仙居;;北京市 陕西巷22号;;;;;39.892807;116.390007;39.89140704;116.3837684;;;77;;77
102;B2094753D368A5FD469E;;3621343;;4;连升商务酒店;连升商务酒店;东城区前门大栅栏西街32号;前门大栅栏西街32号;经济型;前门;;39.895236;116.393455;39.89383434;116.3872144;;;7;99;106
103;B2094654D36EABFA469D;;4284669;;4;京御园宾馆;京御园宾馆;东城区大栅栏西街56号;大栅栏西街56号;经济型;前门;;39.89485;116.3927;39.89344866;116.3864597;;;4;38;42
104;;;8023148;;1;北京兔爷儿;;杨梅竹斜街19号;;;;68;;;39.8939302;116.3814075;39.901608;116.394054;;15;15
105;;;23043789;;1;书的设计店;;杨梅竹斜街23号;;;;29;;;39.89477306;116.3876591;39.902507;116.40029;;1;1
106;;;18363790;;1;Twelve Moons;;杨梅竹斜街27号;;;;69;;;39.89471504;116.3873445;39.902447;116.399976;;7;7
107;;;23965480;;1;Taciturnli;TACITURNLI-YANGMEIZHU store;杨梅竹斜街27号;大栅栏杨梅竹斜街27号二层5-7;服饰鞋包;前门;31;;;39.89471504;116.3873445;39.902447;116.399976;;4;4
108;;;21967048;;1;Triple-Major;;杨梅竹斜街26号;;;;33;;;39.89446049;116.3868223;39.902189;116.399455;;7;7
109;;;20647425;;1;模范书局;;杨梅竹斜街31号;;;;;;;39.89467269;116.3872433;39.902404;116.399875;;34;34
110;;;8869873;;1;采瓷坊;采瓷坊工艺品商行;杨梅竹斜街35号;前门外大栅栏杨梅竹斜街35号;更多购物场所;前门;70;;;39.89459178;116.3869297;39.902321;116.399562;;2;2
